RasterValue,Reference,Classification,PixelSum,Area [metre^2]
1,1,1,910,819000
2,5,1,8,7200
3,2,2,969,872100
4,3,2,15,13500
5,4,2,3,2700
6,5,2,5,4500
7,2,3,3,2700
8,3,3,525,472500
9,1,4,85,76500
10,3,4,1,900
11,4,4,3645,3280500
12,5,4,287,258300
13,1,5,84,75600
14,2,5,6,5400
15,3,5,4,3600
16,4,5,449,404100
17,5,5,9422,8479800

ERROR MATRIX [pixel count]
,> Reference
V_Classified,1,2,3,4,5,Total
1,910,0,0,0,8,918
2,0,969,15,3,5,992
3,0,3,525,0,0,528
4,85,0,1,3645,287,4018
5,84,6,4,449,9422,9965
Total,1079,978,545,4097,9722,16421

AREA BASED ERROR MATRIX
,> Reference
V_Classified,1,2,3,4,5,Area,Wi
1,0.1273,0,0,0,0.0011,146527200,0.1284
2,0,0.1338,0.0021,0.0004,0.0007,156224700,0.1369
3,0,0.0001,0.0200,0,0,22956300,0.0201
4,0.0021,0,0,0.0895,0.0070,112521600,0.0986
5,0.0052,0.0004,0.0002,0.0278,0.5823,702643500,0.6159
Total,0.1346,0.1342,0.0223,0.1176,0.5912,1140873300,0
Estimated area,153553582.51,153156055.09,25498184.06,134207921.29,674457557.05,1140873300
SE,0.0007,0.0007,0.0005,0.0014,0.0015
SE area,825640.63,770216.81,626961.14,1572152.97,1757176.04
95% CI area,1618255.63,1509624.95,1228843.84,3081419.82,3444065.04
PA [%],94.5926,99.6386,89.5196,76.0581,98.5023
UA [%],99.1285,97.6815,99.4318,90.7168,94.5509
Kappa hat,0.9899,0.9732,0.9942,0.8948,0.8667

Overall accuracy [%] = 95.2876
Kappa hat classification = 0.9199

Area unit = metre^2
SE = standard error
CI = confidence interval
PA = producer's accuracy
UA = user's accuracy
