RasterValue,Reference,Classification,PixelSum,Area [metre^2]
1,1,1,956,860400
2,1,2,10,9000
3,1,3,13,11700
4,1,4,73,65700
5,1,5,27,24300
6,2,1,3,2700
7,2,2,966,869400
8,2,3,9,8100
9,3,1,7,6300
10,3,2,14,12600
11,3,3,523,470700
12,3,5,1,900
13,4,1,114,102600
14,4,2,48,43200
15,4,3,32,28800
16,4,4,3609,3248100
17,4,5,294,264600
18,5,1,202,181800
19,5,2,198,178200
20,5,3,64,57600
21,5,4,441,396900
22,5,5,8817,7935300

ERROR MATRIX [pixel count]
,> Reference
V_Classified,1,2,3,4,5,Total
1,956,3,7,114,202,1282
2,10,966,14,48,198,1236
3,13,9,523,32,64,641
4,73,0,0,3609,441,4123
5,27,0,1,294,8817,9139
Total,1079,978,545,4097,9722,16421

AREA BASED ERROR MATRIX
,> Reference
V_Classified,1,2,3,4,5,Area,Wi
1,0.1217,0.0004,0.0009,0.0145,0.0257,186212700,0.1632
2,0.0015,0.1444,0.0021,0.0072,0.0296,210794400,0.1848
3,0.0008,0.0005,0.0310,0.0019,0.0038,43365600,0.0380
4,0.0027,0,0,0.1316,0.0161,171486000,0.1503
5,0.0014,0,0.0001,0.0149,0.4474,529014600,0.4637
Total,0.1280,0.1453,0.0340,0.1701,0.5225,1140873300,0
Estimated area,146044746.68,165791712.14,38844827.27,194035528.33,596156485.58,1140873300
SE,0.0021,0.0022,0.0009,0.0020,0.0028
SE area,2386291.43,2499302.66,997299.16,2325385.44,3228007.28
95% CI area,4677131.21,4898633.22,1954706.36,4557755.47,6326894.26
PA [%],95.0809,99.3699,91.0869,77.3608,85.6110
UA [%],74.5710,78.1553,81.5913,87.5333,96.4766
Kappa hat,0.7084,0.7444,0.8094,0.8498,0.9262

Overall accuracy [%] = 87.6060
Kappa hat classification = 0.8186

Area unit = metre^2
SE = standard error
CI = confidence interval
PA = producer's accuracy
UA = user's accuracy
