,precision,recall,f1-score,support
Built-up Area,0.9207383279044516,0.7859128822984245,0.848,1079.0
Vegetation,0.9412915851272016,0.983640081799591,0.962,978.0
Water Bodies,0.8804713804713805,0.9596330275229358,0.9183494293239683,545.0
Mining Area,0.866238894373149,0.8567244325115938,0.8614553932997914,4097.0
Other Area,0.940907241659886,0.9515531783583625,0.9462002659302444,9722.0
accuracy,0.9191888435539858,0.9191888435539858,0.9191888435539858,0.9191888435539858
macro avg,0.9099294859072138,0.9074927204981815,0.9072010177108009,16421.0
weighted avg,0.9189694709265217,0.9191888435539858,0.9186206790514978,16421.0
