Blue (Band 2),Green (Band 3),Red (Band 4),NIR (Band 5),SWIR (Band 6),SWIR (Band 7),class_id
10614,12448,14411,18290,20406,18924,5
10584,12295,14135,18098,20151,18416,5
10622,12470,14368,18262,20158,18340,5
10587,12526,14507,18426,20073,18194,5
10647,12512,14444,18284,20238,18336,5
10753,12617,14333,18302,20139,18346,5
10853,12825,14799,18561,20362,18432,5
10894,12876,14741,18583,20471,18763,5
10885,12917,14984,18629,20611,19051,5
10725,12683,14634,18428,20384,18765,5
10646,12441,14396,18125,20447,18741,5
10521,12204,14130,17922,20571,18624,5
10447,12175,14158,17742,20527,18803,5
10450,12240,14166,17939,20355,18472,5
10506,12226,14036,17984,20270,18645,5
10909,12889,15118,18662,21355,19073,5
10725,12559,14750,18508,21211,18743,5
10638,12318,14468,18334,20976,18500,5
10723,12585,14796,18766,21307,18661,5
10798,12593,14875,18956,21858,18719,5
10751,12509,14826,19239,21933,18372,5
10665,12351,14556,19143,21632,18027,5
10671,12469,14385,18314,20695,18275,5
10797,12555,14442,18360,20552,18553,5
10577,12319,14183,18036,20767,19141,5
10780,12615,14697,18111,21205,19772,5
11079,13197,15372,18780,21569,20299,5
11456,13394,15530,18826,21346,19796,5
10681,12536,14526,18527,20860,18426,5
10591,12346,14372,18484,20788,18015,5
10496,12238,14186,18477,20624,17847,5
10506,12283,14218,18493,20492,17876,5
10563,12274,14177,18253,20520,18214,5
10648,12477,14535,18301,20809,18668,5
10668,12408,14390,18256,20631,18696,5
10789,12651,14688,18448,20780,18890,5
10903,12890,14902,18578,20730,19018,5
10969,13039,15139,18804,21016,19248,5
11093,13211,15315,19056,21166,19358,5
11002,13036,15231,19308,21383,18727,5
10892,12810,14957,19492,21606,17537,5
10858,12700,14820,19611,21700,17545,5
10746,12533,14535,19475,21190,17591,5
10789,12628,14717,18306,21019,19044,5
10598,12342,14282,18004,20444,18824,5
10669,12507,14544,18268,20634,18849,5
10687,12535,14495,18259,20579,18688,5
10766,12728,14722,18353,20645,19067,5
10845,12838,14809,18623,20748,19267,5
10922,12976,15126,18798,20971,19533,5
