Metric,Value
Overall Accuracy (%),91.91888435539857
Kappa Coefficient,0.8595459801317595

Class,Producer's Accuracy (%),User's Accuracy (%)
Built-up Area,78.59128822984245,92.07383279044517
Vegetation,98.3640081799591,94.12915851272015
Water Bodies,95.96330275229357,88.04713804713805
Mining Area,85.67244325115938,86.6238894373149
Other Area,95.15531783583626,94.0907241659886
